"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max","Baseline Coxing CRI","Baseline Coxing CRI Max",
"1036475","125162","MasC.8+","Op MasC 8+","","KRC","Kingston Rowing Club","KRC-WHEATON","Accepted","N","","A","","","","","","410","593","456","800","446","446","","","410","593","456","800","0","0",
"1036702","125162","MasC.8+","Op MasC 8+","","TRF","Trafford Rowing Club","TRF-THOMPSON","Accepted","N","","","","","","","","326","620","5","34","53","61","","","326","620","5","34","53","61",
"1037090","125162","MasC.8+","Op MasC 8+","","MAR","Marlow Rowing Club","MAR-MOON","Accepted","N","","","","","","","","564","891","2","16","128","147","","","564","891","2","16","128","147",
"1037103","125162","MasC.8+","Op MasC 8+","","AGE","Agecroft Rowing Club","AGE-MORGAN","Accepted","N","","","","","","","","1435","1728","26","160","216","216","","","1435","1728","26","160","216","216",
"1037252","125162","MasC.8+","Op MasC 8+","","BED","Bedford Rowing Club","BED-WALSH","Accepted","N","","","","","","","","153","156","20","46","16","16","","","153","156","20","46","16","16",
"1037440","125162","MasC.8+","Op MasC 8+","","LEA","Lea Rowing Club","LEA-RICHARDSON","Accepted","N","","C","","","","","","582","644","190","329","58","58","","","582","644","190","329","58","58",
"1037545","125162","MasC.8+","Op MasC 8+","","LRC","London Rowing Club","LRC-VAN TIEL","Accepted","N","","","","","","","","2945","3790","224","485","171","171","","","2945","3790","224","485","171","171",
"1037673","125162","MasC.8+","Op MasC 8+","","CRB","Crabtree Boat Club","CRB-PARISH","Accepted","N","","A","","","","","","2746","3367","209","893","0","0","","","2385","3185","209","893","0","0",
"1037845","125162","MasC.8+","Op MasC 8+","","CAM","City of Cambridge Rowing Club","CAM-WARE","Accepted","N","","","","","","","","1304","1557","0","0","191","191","","","1304","1557","0","0","191","191",
"1038012","125162","MasC.8+","Op MasC 8+","","MBC","Molesey Boat Club","MBC-Bellamy","Accepted","N","","D","","","","","","1702","2522","1466","2295","155","177","","","1855","2675","1431","2015","155","177",
"1038161","125162","MasC.8+","Op MasC 8+","","ABD","Aberdeen Boat Club","ABD-GARDNER","Accepted","N","","A","","","","","","0","0","0","0","0","0","","","0","0","0","0","0","0",
"1038207","125162","MasC.8+","Op MasC 8+","","ZCR","Commercial Rowing Club, IRE","Máistrí na hÉireann","Accepted","Y","ZCR/ZIN/ZGY/ZLE/ZSN/ZCK","","","","","","","338","2704","0","0","0","0","","","338","2704","0","0","0","0",
"1038864","125162","MasC.8+","Op MasC 8+","","ZFA","Cercle Nautique de France","CERCLE NAUTIQUE DE FRANCE","Accepted","N","","A","","","","","","164","1312","0","0","0","0","","","164","1312","0","0","0","0",
"1038954","125162","MasC.8+","Op MasC 8+","","STN","Staines Boat Club","STN-DOUGLAS","Accepted","N","","A","","","","","","14","45","5","9","70","112","","","14","45","5","9","70","112",
"1039002","125162","MasC.8+","Op MasC 8+","","ZDJ","Castleconnell Boat Club","Limerick's Finest","Accepted","Y","ZDJ/ZCR/ZNY","A","","","","","","69","552","0","0","0","0","","","69","552","0","0","0","0",
"1039025","125162","MasC.8+","Op MasC 8+","","SIV","St Ives Rowing Club","SIV - ASHMORE","Accepted","N","","A","","","","","","121","966","168","173","0","0","","","121","966","168","173","0","0",
"1039065","125162","MasC.8+","Op MasC 8+","","TRC","Thames Rowing Club","TRC-JACOBS","Accepted","N","","D","","","","","","531","832","44","168","388","388","","","531","832","44","168","388","388",
"1038862","125175","MasD.4x-","Op MasD 4x-","","TKC","Team Keane Sculling School","TKC-JUDD","Accepted","N","","A","","","","","","10","47","36","36","0","0","","","11","49","48","53","0","0",
"1035413","125163","MasD.8+","Op MasD 8+","","MHD","Maidenhead Rowing Club","MHD - Scott","Accepted","N","","B","","","","","","2048","2639","241","342","297","297","","","2048","2639","241","342","297","297",
"1035455","125163","MasD.8+","Op MasD 8+","","UTC","Upper Thames Rowing Club","UTC-JACOBS","Accepted","Y","UTC/HEN","","","","","","","2056","2070","237","667","201","201","","","2056","2070","237","667","201","201",
"1035968","125163","MasD.8+","Op MasD 8+","","ZAT","Aviron Toulousain","ZAT sadran aviron bayonnais","Accepted","N","","Z","","","","","","630","5040","0","0","126","1008","","","630","5040","0","0","126","1008",
"1036212","125163","MasD.8+","Op MasD 8+","","STA","Star Club","STA-SOGAN","Accepted","Y","STA/BED","","","","","","","413","513","465","500","25","67","","","366","466","250","306","25","67",
"1036791","125163","MasD.8+","Op MasD 8+","","ZCO","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","CC3P Giulio","Accepted","N","","","","","","","","9","72","0","0","8","64","","","9","72","0","0","8","64",
