"Crew ID","Crew Name","Event ID","Event Identity","Actual Masters Crew Category","Composite","Composite Code","Submitting Club","Submitting Club Index",
"1001564","AGE-GRANDFIELD","100614","W.MasA.8+","A","N","","Agecroft Rowing Club","AGE",
"1001861","LEA W.MasA","100614","W.MasA.8+","A","N","","Lea Rowing Club","LEA",
"1002358","ICSM Phoenix","100614","W.MasA.8+","A","N","","Imperial College School Of Medicine Boat Club","IMM",
"1002373","LEA/MILTON KEYNES","100614","W.MasA.8+","A","Y","LEA/MIK","Lea Rowing Club","LEA",
"1001455","MAR-MANLEY","100645","W.MasA.8+","D","N","","Marlow Rowing Club","MAR",
"1002017","KRC-RAMSEY","100645","W.MasA.8+","C","N","","Kingston Rowing Club","KRC",
"1002142","LEA-HAINE","100645","W.MasA.8+","A","N","","Lea Rowing Club","LEA",
"1002626","CC3P Ladies","100645","W.MasA.8+","E","N","","CIRCOLO CANOTTIERI 3 PONTI ASD - Italy","ZCO",
"1002656","DUR-FORWOOD","100645","W.MasA.8+","D","N","","Durham Amateur Rowing Club","DUR",
"1002681","TSS-Finn","100645","W.MasA.8+","B","N","","Tideway Scullers School","TSS",
"1003216","TRC - Currey","100645","W.MasA.8+","A","N","","Thames Rowing Club","TRC",
"1002003","TRC - Dickson","100615","W.MasB.8+","B","N","","Thames Rowing Club","TRC",
"1002208","WRC-GRAY","100615","W.MasB.8+","B","N","","Wallingford Rowing Club","WRC",
"1003093","MAA-CARDWELL","100615","W.MasB.8+","B","N","","Mortlake Anglian & Alpha Boat Club","MAA",
"1003225","Peterborough - Lloyd","100615","W.MasB.8+","B","N","","Peterborough City Rowing Club","PET",
"1003249","TwRC Wine Drinkers","100615","W.MasB.8+","B","N","","Twickenham Rowing Club","TWK",
"1001340","BBL-RICHARDSON","100616","W.MasC.8+","C","N","","Barnes Bridge Ladies Rowing Club","BBL",
"1001801","AVN-LAMBERT","100616","W.MasC.8+","C","N","","Avon County Rowing Club","AVN",
"1001869","LEA-WMASC","100616","W.MasC.8+","C","N","","Lea Rowing Club","LEA",
"1001947","ABN-DEMMAR","100616","W.MasC.8+","C","N","","Abingdon Rowing Club","ABN",
"1001950","MAV-3","100616","W.MasC.8+","C","N","","Maidstone Invicta Rowing Club","MAV",
"1001971","Team Keane W Masters","100616","W.MasC.8+","C","N","","Team Keane Sculling School","TKC",
"1002124","GRO Ocenacova","100616","W.MasC.8+","C","N","","Grosvenor Rowing Club, Chester","GRO",
"1002442","HER-ROWNEY","100616","W.MasC.8+","C","N","","Hereford Rowing Club","HER",
"1002665","Belvoir Ladies","100616","W.MasC.8+","C","N","","Belvoir Ruderclub Zuerich","ZBV",
"1002680","WEY-BUR composite","100616","W.MasC.8+","C","Y","WEY/BUR","Weybridge Rowing Club","WEY",
"1003227","Peterborough Smith","100616","W.MasC.8+","C","N","","Peterborough City Rowing Club","PET",
"1001360","Turnell","100617","W.MasD.8+","D","N","","Henley Rowing Club","HEN",
"1001621","Northern Virginia Rowing Club","100617","W.MasD.8+","D","N","","Northern Virginia Rowing Club","ZNV",
"1001648","FAL-SALVESEN","100617","W.MasD.8+","D","N","","Falcon Rowing Club","FAL",
"1001795","SRC-GIBBONS","100617","W.MasD.8+","D","N","","Sudbury Rowing Club","SRC",
"1001798","PGN-CHELTON","100617","W.MasD.8+","D","N","","Pengwern Boat Club","PGN",
"1001828","Ardingly WMasD","100617","W.MasD.8+","D","N","","Ardingly Rowing Club","ARD",
"1002101","WLT-Shaw","100617","W.MasD.8+","D","N","","Walton Rowing Club","WLT",
"1002195","BEW-MARTYN SMITH Vet D 8+","100617","W.MasD.8+","D","Y","BEW/UPT/BIR","Bewdley Rowing Club","BEW",
"1002198","MIK-WILSON","100617","W.MasD.8+","D","N","","Milton Keynes Rowing Club","MIK",
"1002236","WRC-CASEY","100617","W.MasD.8+","D","N","","Wallingford Rowing Club","WRC",
"1002262","WRC-MILLER","100617","W.MasD.8+","D","N","","Wallingford Rowing Club","WRC",
"1002343","MON-TOD","100617","W.MasD.8+","D","N","","Monmouth Rowing Club","MON",
"1002344","TSS-KENTISH","100617","W.MasD.8+","E","N","","Tideway Scullers School","TSS",
"1002462","CHA-BURNSTEIN","100617","W.MasD.8+","E","N","","Champion Of The Thames (Cambridge) RC","CHA",
"1002471","UTRC WMD8+","100617","W.MasD.8+","D","N","","Upper Thames Rowing Club","UTC",
"1002597","NOR/LEA/ROB-FERGUSON","100617","W.MasD.8+","D","Y","NOR/LEA/ROB/NHS","Norwich Rowing Club","NOR",
"1003242","RYCC SAVOIA","100617","W.MasD.8+","D","N","","Reale Yacht Club Canottieri Savoia ASD - Italy","ZRY",
"1001348","WEY-JOHNSON","100618","W.MasE.8+","E","N","","Weybridge Rowing Club","WEY",
"1001378","-HAASTRUP","100618","W.MasE.8+","E","N","","Fredensborg RC","",
"1001421","PTR-NASH","100618","W.MasE.8+","E","N","","Putney Town Rowing Club","PTR",
"1001454","MAR- WMas E","100618","W.MasE.8+","E","N","","Marlow Rowing Club","MAR",
"1001790","STA- LAWRENCE","100618","W.MasE.8+","E","N","","Star Club","STA",
"1001862","LEA WMasE","100618","W.MasE.8+","F","N","","Lea Rowing Club","LEA",
"1001918","TWK WMasE - Jones","100618","W.MasE.8+","E","N","","Twickenham Rowing Club","TWK",
"1002968","Lund","100618","W.MasE.8+","E","N","","Durham Amateur Rowing Club","DUR",
"1003260","CSH/BED/HEN/MED/STA-TURNER","100618","W.MasE.8+","E","Y","CSH/BED/HEN/MED/STA","Sheffield, City Of, Rowing Club","CSH",
"1001456","MAR-JAGGER","100619","W.MasF.8+","F","N","","Marlow Rowing Club","MAR",
"1001646","Comp - Cook","100619","W.MasF.8+","F","Y","TRC/BBL/MAA/TSS/UTC","Thames Rowing Club","TRC",
"1002356","WBKTSSZSCA","100619","W.MasF.8+","F","Y","WBK/ZAM/TSS","Walbrook Rowing Club","WBK",
