"Crew ID","Crew Name","Event ID","Event Identity","Actual Masters Crew Category","Composite","Composite Code","Submitting Club","Submitting Club Index",
"1027475","MAR-PARSONS","118807","MasE.1x","E","N","","Marlow Rowing Club","MAR",
"1027547","CHA-MILLAR","118807","MasE.1x","E","N","","Champion Of The Thames (Cambridge) RC","CHA",
"1027689","BNT-BATES","118807","MasE.1x","E","N","","Bentham Boat Club","BNT",
"1027715","UPT-SCRIVENER","118807","MasE.1x","E","N","","Upton Rowing Club","UPT",
"1027806","PTR-DE MARIA","118807","MasE.1x","E","N","","Putney Town Rowing Club","PTR",
"1027807","PTR-DEBOIS","118807","MasE.1x","E","N","","Putney Town Rowing Club","PTR",
"1027815","MBC-SNELLING","118807","MasE.1x","E","N","","Molesey Boat Club","MBC",
"1027976","UTC-SHIMMIN","118807","MasE.1x","E","N","","Upper Thames Rowing Club","UTC",
"1028049","NOR-CONWAY","118807","MasE.1x","E","N","","Norwich Rowing Club","NOR",
"1028196","CYG-PUGH","118807","MasE.1x","E","N","","Cygnet Rowing Club","CYG",
"1028374","SON-WHITTLE","118807","MasE.1x","E","N","","Sons of the Thames Rowing Club","SON",
"1028551","LRC-HALFORD","118807","MasE.1x","E","N","","London Rowing Club","LRC",
"1028562","MHD-HUDSON","118807","MasE.1x","E","N","","Maidenhead Rowing Club","MHD",
"1028591","NOR-DAVIES","118807","MasE.1x","E","N","","Norwich Rowing Club","NOR",
"1028662","thiemann","118807","MasE.1x","E","N","","Walton Rowing Club","WLT",
"1028676","piers copham","118807","MasE.1x","E","N","","Granta Boat Club","GRT",
"1028686","NOR-AUDINIS","118807","MasE.1x","E","N","","Norwich Rowing Club","NOR",
"1028733","BRX-CROOK","118807","MasE.1x","E","N","","Broxbourne Rowing Club","BRX",
"1028986","TSS-PRIESTLEY","118807","MasE.1x","E","N","","Tideway Scullers School","TSS",
"1029012","HOL-BOOTH","118807","MasE.1x","E","N","","Hollingworth Lake Rowing Club","HOL",
"1029013","HOL-LAWTON","118807","MasE.1x","E","N","","Hollingworth Lake Rowing Club","HOL",
"1029038","GLR-LOWE","118807","MasE.1x","E","N","","Gloucester Rowing Club","GLR",
"1029156","UTRC Hope D","118807","MasE.1x","E","N","","Upper Thames Rowing Club","UTC",
"1029248","TSS-EARNSHAW","118807","MasE.1x","E","N","","Tideway Scullers School","TSS",
"1029674","WBK-Thomas","118807","MasE.1x","E","N","","Walbrook Rowing Club","WBK",
"1029705","WLT-Adey","118807","MasE.1x","E","N","","Walton Rowing Club","WLT",
"1029711","TWK McCarter","118807","MasE.1x","E","N","","Twickenham Rowing Club","TWK",
"1026828","MHD-FRICKER","118808","MasF.1x","F","N","","Maidenhead Rowing Club","MHD",
"1027016","QBC-HARRISON","118808","MasF.1x","F","N","","Quintin Boat Club","QBC",
"1027101","J Farrell","118808","MasF.1x","F","N","","St Neots Rowing Club","SNE",
"1027159","TRC-WATKISS","118808","MasF.1x","F","N","","Thames Rowing Club","TRC",
"1027245","WLT-BISHOP","118808","MasF.1x","F","N","","Walton Rowing Club","WLT",
"1027247","MAR-DRISCOLL","118808","MasF.1x","F","N","","Marlow Rowing Club","MAR",
"1027248","MAR-PICKIN","118808","MasF.1x","F","N","","Marlow Rowing Club","MAR",
"1027278","FSC-FERRIS","118808","MasF.1x","F","N","","Furnivall Sculling Club","FSC",
"1027287","QBC-MEANEY","118808","MasF.1x","F","N","","Quintin Boat Club","QBC",
"1027690","BNT-BAILEY","118808","MasF.1x","F","N","","Bentham Boat Club","BNT",
"1027694","ABN-BAKER","118808","MasF.1x","F","N","","Abingdon Rowing Club","ABN",
"1027782","MBC-RASPIN","118808","MasF.1x","F","N","","Molesey Boat Club","MBC",
"1027887","TSS-ALLOWAY","118808","MasF.1x","F","N","","Tideway Scullers School","TSS",
"1028463","LRC-SMITHSON","118808","MasF.1x","F","N","","London Rowing Club","LRC",
"1028654","TSS-BEST","118808","MasF.1x","F","N","","Tideway Scullers School","TSS",
"1028731","BRX-BATEY","118808","MasF.1x","F","N","","Broxbourne Rowing Club","BRX",
"1028786","LRC-METCALF","118808","MasF.1x","F","N","","London Rowing Club","LRC",
"1028951","ARD-RADOSEVIC","118808","MasF.1x","F","N","","Ardingly Rowing Club","ARD",
"1028953","ARD-BANKS","118808","MasF.1x","F","N","","Ardingly Rowing Club","ARD",
"1028971","GLR-THORNTON","118808","MasF.1x","F","N","","Gloucester Rowing Club","GLR",
"1029014","HOL-PRICE","118808","MasF.1x","F","N","","Hollingworth Lake Rowing Club","HOL",
"1029015","HOL-CLAY","118808","MasF.1x","F","N","","Hollingworth Lake Rowing Club","HOL",
"1029057","TKC-MARSDEN","118808","MasF.1x","G","N","","Team Keane Sculling School","TKC",
"1029107","MHD-RICHARDS","118808","MasF.1x","F","N","","Maidenhead Rowing Club","MHD",
"1029297","MAV-PHILLIPS","118808","MasF.1x","F","N","","Maidstone Invicta Rowing Club","MAV",
"1029624","TSS-O'NEILL","118808","MasF.1x","F","N","","Tideway Scullers School","TSS",
"1029672","MBC-CROSS","118808","MasF.1x","F","N","","Molesey Boat Club","MBC",
"1027054","Stephen Lockwood","118809","MasG.1x","G","N","","Belfast Boat Club","ZBF",
"1027645","PTR-ADAMS","118809","MasG.1x","G","N","","Putney Town Rowing Club","PTR",
"1027646","PTR-ROSE","118809","MasG.1x","G","N","","Putney Town Rowing Club","PTR",
"1027915","TSS-SWIFT","118809","MasG.1x","G","N","","Tideway Scullers School","TSS",
"1028011","VRC-MEW","118809","MasG.1x","G","N","","Vesta Rowing Club","VRC",
"1028219","DAT-STEWART","118809","MasG.1x","G","N","","Dart-Totnes Amateur Rowing Club","DAT",
"1028680","Milligan","118809","MasG.1x","G","N","","Poplar Blackwall & District Rowing Club","PBD",
"1029037","GLR-VENN","118809","MasG.1x","G","N","","Gloucester Rowing Club","GLR",
"1029290","TSS-WATTS","118809","MasG.1x","G","N","","Tideway Scullers School","TSS",
"1027021","QBC-BISHOP","118810","MasH.1x","H","N","","Quintin Boat Club","QBC",
"1027158","TRC-GARNER","118810","MasH.1x","H","N","","Thames Rowing Club","TRC",
"1027396","WRC-MORRIS","118810","MasH.1x","H","N","","Wallingford Rowing Club","WRC",
"1027397","WRC-PARRY","118810","MasH.1x","H","N","","Wallingford Rowing Club","WRC",
"1028220","DAT-HARRIS","118810","MasH.1x","H","N","","Dart-Totnes Amateur Rowing Club","DAT",
"1028539","LEA-MEARS","118810","MasH.1x","H","N","","Lea Rowing Club","LEA",
"1029509","CTW-DAWS","118810","MasH.1x","H","N","","Cotswold Rowing Club","CTW",
