"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max",
"1029289","118791","1x","Op 1x","","WOO","Wolfson College (Oxford) Boat Club","WOO-SCHLEGEL","N","","","","","","","","67","133","22","44","67","133","22","44",
"1029486","118791","1x","Op 1x","","KCS","Kings College School Boat Club","KCS-WINCHESTER","N","","","","","","","","166","442","180","479","166","442","180","479",
"1029614","118791","1x","Op 1x","","VRC","Vesta Rowing Club","VRC-CHAPMAN","N","","","","","","","","170","170","71","81","170","170","71","81",
"1029619","118791","1x","Op 1x","","TSS","Tideway Scullers School","TSS-BOND","N","","","","","","","","86","137","150","399","86","137","150","399",
"1029638","118791","1x","Op 1x","","MBC","Molesey Boat Club","MBC-WATKINS","N","","","","","","","","298","397","379","379","298","397","379","379",
"1029640","118791","1x","Op 1x","","MBC","Molesey Boat Club","MBC-RALLEY","N","","","","","","","","177","708","0","0","177","708","0","0",
"1029643","118791","1x","Op 1x","","CSH","Sheffield, City Of, Rowing Club","CSH-SCHOFIELD","N","","","","","","","","60","60","134","154","60","60","134","154",
"1029651","118791","1x","Op 1x","","QBC","Quintin Boat Club","QBC-EWING","N","","","","","","","","588","588","391","447","588","588","391","447",
"1029675","118791","1x","Op 1x","","CAB","Cantabrigian Rowing Club","CAB-BOUKHATMI","N","","","","","","","","194","388","107","107","194","388","107","107",
"1029676","118791","1x","Op 1x","","CAB","Cantabrigian Rowing Club","CAB-COLLINS","N","","","","","","","","93","149","83","166","93","149","83","166",
"1029677","118791","1x","Op 1x","","CSH","Sheffield, City Of, Rowing Club","CSH-TURNBULL","N","","","","","","","","98","98","121","138","98","98","121","138",
"1029678","118791","1x","Op 1x","","CSH","Sheffield, City Of, Rowing Club","CSH-TAPLEY","N","","","","","","","","68","68","58","58","68","68","58","58",
"1029691","118791","1x","Op 1x","","OXB","Oxford Brookes University Boat Club","OXB-HUME","N","","","","","","","","223","356","0","0","223","356","0","0",
"1029704","118791","1x","Op 1x","","WAD","Wadham College Boat Club","WAD-HOUGHTON","N","","","","","","","","11","22","25","25","11","22","25","25",
"1029710","118791","1x","Op 1x","","FUL","Fulham Reach Boat Club","FUL-PRADERA ANLLO","N","","","","","","","","238","272","315","420","238","272","315","420",
"1029722","118791","1x","Op 1x","","LRC","London Rowing Club","LRC-COLE","N","","","","","","","","0","0","0","0","0","0","0","0",
"1029729","118791","1x","Op 1x","","LRC","London Rowing Club","LRC-GOLDING","N","","","","","","","","183","244","111","222","183","244","111","222",
"1029733","118791","1x","Op 1x","","IMP","Imperial College Boat Club","IMP-HINES","N","","","","","","","","788","788","123","492","788","788","123","492",
"1029740","118791","1x","Op 1x","","HEN","Henley Rowing Club","HEN-MAYTUM","N","","","","","","","","35","94","100","100","35","94","100","100",
"1029787","118791","1x","Op 1x","","YRK","York City Rowing Club","YRK-BOLLANS","N","","","","","","","","93","93","227","260","93","93","227","260",
"1027369","118799","J16.1x","Op J16 1x","","TSS","Tideway Scullers School","TSS-DE ST CROIX","N","","","","","","","","0","0","161","161","0","0","161","161",
"1027529","118799","J16.1x","Op J16 1x","","GLB","Globe Rowing Club","GLB-WATSON-GANDY","N","","A","","","","","","2","16","363","363","2","16","363","363",
"1027532","118799","J16.1x","Op J16 1x","","GLB","Globe Rowing Club","GLB-KASZAS","N","","C","","","","","","0","0","2","8","0","0","2","8",
"1027670","118799","J16.1x","Op J16 1x","","SPS","St Pauls School Boat Club","SPS-VALT","N","","","","","","","","221","354","333","333","221","354","333","333",
"1027671","118799","J16.1x","Op J16 1x","","SPS","St Pauls School Boat Club","SPS-TAYLOR","N","","","","","","","","234","312","199","199","234","312","199","199",
"1027672","118799","J16.1x","Op J16 1x","","SPS","St Pauls School Boat Club","SPS-LANGSTONE-BOLT","N","","","","","","","","230","368","269","269","230","368","269","269",
"1027738","118799","J16.1x","Op J16 1x","","GLB","Globe Rowing Club","GLB-HUGHES","N","","B","","","","","","0","0","284","284","0","0","284","284",
"1028065","118799","J16.1x","Op J16 1x","","LTU","Latymer Upper School Boat Club","LTU-NEWTON","N","","A","","","","","","278","278","337","337","278","278","337","337",
"1028099","118799","J16.1x","Op J16 1x","","FUL","Fulham Reach Boat Club","FUL-HUI-LE MARER","N","","","","","","","","0","0","3","24","0","0","3","24",
"1028906","118799","J16.1x","Op J16 1x","","PBD","Poplar Blackwall & District Rowing Club","PBD-SLOAN","N","","","","","","","","0","0","71","71","0","0","71","71",
"1029153","118799","J16.1x","Op J16 1x","","SGC","St Georges College Boat Club","SGC-FLOWERDEW","N","","","","","","","","72","72","186","186","72","72","186","186",
"1029418","118799","J16.1x","Op J16 1x","","SHP","Shiplake College Boat Club","SHP-ASH","N","","","","","","","","227","227","220","352","227","227","220","352",
"1029623","118799","J16.1x","Op J16 1x","","TSS","Tideway Scullers School","TSS-OLIVER","N","","","","","","","","0","0","194","194","0","0","194","194",
"1029641","118799","J16.1x","Op J16 1x","","BAE","Barn Elms Rowing Club","BAE-WOODS","N","","","","","","","","0","0","37","60","0","0","37","60",
"1029792","118799","J16.1x","Op J16 1x","","WBS","Windsor Boys School, The, Boat Club","WBS-VAN GELDEREN","N","","A","","","","","","0","0","215","215","0","0","215","215",
"1027368","118798","J17.1x","Op J17 1x","","TSS","Tideway Scullers School","TSS-JONAS","N","","","","","","","","40","107","273","273","40","107","273","273",
"1028152","118798","J17.1x","Op J17 1x","","SPS","St Pauls School Boat Club","SPS-PARISH","N","","","","","","","","630","630","425","425","630","630","425","425",
"1028156","118798","J17.1x","Op J17 1x","","SPS","St Pauls School Boat Club","SPS-ANDREWS","N","","","","","","","","566","566","147","235","566","566","147","235",
"1028157","118798","J17.1x","Op J17 1x","","SPS","St Pauls School Boat Club","SPS-BEKTAS","N","","","","","","","","297","297","114","182","297","297","114","182",
"1028184","118798","J17.1x","Op J17 1x","","SPS","St Pauls School Boat Club","SPS-CRAIG-MCFEELY","N","","","","","","","","241","241","93","186","241","241","93","186",
"1028278","118798","J17.1x","Op J17 1x","","SPS","St Pauls School Boat Club","SPS-CRAIG MCFEELY","N","","","","","","","","213","213","235","313","213","213","235","313",
"1028279","118798","J17.1x","Op J17 1x","","SPS","St Pauls School Boat Club","SPS-BEECHING","N","","","","","","","","191","191","8","32","191","191","8","32",
"1028355","118798","J17.1x","Op J17 1x","","SPS","St Pauls School Boat Club","SPS-DOYLE","N","","","","","","","","599","599","318","424","599","599","318","424",
"1028356","118798","J17.1x","Op J17 1x","","SPS","St Pauls School Boat Club","SPS-ISOLA","N","","","","","","","","255","255","22","58","255","255","22","58",
"1028516","118798","J17.1x","Op J17 1x","","WES","Westminster School Boat Club","WES-CROSBIE","N","","A","","","","","","393","393","168","336","393","393","168","336",
"1028517","118798","J17.1x","Op J17 1x","","WES","Westminster School Boat Club","WES-DAVISON","N","","B","","","","","","318","318","173","277","318","318","173","277",
"1028518","118798","J17.1x","Op J17 1x","","WES","Westminster School Boat Club","WES-WICKHAM","N","","C","","","","","","393","393","119","238","393","393","119","238",
"1028519","118798","J17.1x","Op J17 1x","","WES","Westminster School Boat Club","WES-WRIGHT","N","","D","","","","","","393","393","83","166","393","393","83","166",
"1028520","118798","J17.1x","Op J17 1x","","WES","Westminster School Boat Club","WES-HOLLE","N","","E","","","","","","98","196","73","117","98","196","73","117",
"1028521","118798","J17.1x","Op J17 1x","","WES","Westminster School Boat Club","WES-BAROUDEL","N","","F","","","","","","315","315","90","179","315","315","90","179",
"1028522","118798","J17.1x","Op J17 1x","","WES","Westminster School Boat Club","WES-BUDHDEO","N","","G","","","","","","389","389","8","64","389","389","8","64",
"1028523","118798","J17.1x","Op J17 1x","","WES","Westminster School Boat Club","WES-WAGSTAFF","N","","H","","","","","","390","390","112","179","390","390","112","179",
"1028559","118798","J17.1x","Op J17 1x","","SRC","Sudbury Rowing Club","SRC-BULLEN","N","","","","","","","","25","67","36","36","25","67","36","36",
"1029017","118798","J17.1x","Op J17 1x","","HOL","Hollingworth Lake Rowing Club","HOL-HEYWOOD","N","","","","","","","","0","0","114","114","0","0","114","114",
"1029082","118798","J17.1x","Op J17 1x","","SHP","Shiplake College Boat Club","SHP-BROWN","N","","","","","","","","227","227","98","784","227","227","98","784",
